无人机编号,极径,极角
1,100.348075,330.465806
2,41.363571,359.640316
3,53.385584,300.073443
4,64.300308,60.374476
5,0.0,0.0
6,36.196115,240.099304
7,85.329147,89.989167
8,63.201914,120.372006
9,51.070228,180.415596
10,78.250189,210.479512
11,138.111155,100.819969
12,104.738104,119.572625
13,97.641335,150.324131
14,95.050308,179.677774
15,130.090244,199.089011
